lat,lng
41.7796,-87.6742
42.2618,-89.0867
39.805,-89.6492
41.8519,-87.6954
37.7223,-89.2088
41.734,-87.6524
41.75,-87.6853
40.7033,-89.618
41.8871,-87.6844
41.8833,-87.6296
41.7508,-87.6341
41.723,-87.6628
40.6829,-89.6136
41.8877,-87.7651
41.8733,-87.7431
41.5704,-87.7241
41.8945,-87.6601
40.0234,-88.573
37.7438,-89.2188
41.8907,-87.7483
40.673,-89.62
40.4674,-87.6637
39.7859,-89.6551
41.7282,-87.5581
42.2902,-89.1072
42.0912,-88.2939
41.6864,-87.5316
41.7282,-87.6398
40.1135,-88.2335
41.759,-87.5684
41.7443,-87.6136
41.9701,-87.7208
40.7062,-89.5876
38.5625,-90.1764
41.8551,-87.6785
41.8412,-87.6902
41.9478,-87.7078
41.7954,-87.6962
41.506,-90.5532
40.1129,-88.2431
40.6741,-89.6292
42.1285,-88.2664
41.9715,-87.8954
41.4894,-90.4433
38.5488,-89.9465
40.7191,-89.6468
40.7154,-89.5874
39.7747,-89.6448
39.8097,-89.6785
42.2573,-89.0673
42.0314,-88.1966
38.6309,-90.1227
40.112,-88.2255
41.7714,-87.6739
41.8767,-87.7455
39.7868,-89.6947
42.3707,-87.8373
41.8525,-87.7407
41.8753,-87.7255
41.7564,-87.5864
39.4821,-88.3923
41.7721,-87.6737
41.7372,-87.5546
41.7041,-87.6476
41.8528,-87.6228
40.703,-89.5781
40.1157,-88.2063
41.8866,-87.9012
41.7223,-87.5847
40.4071,-88.8533
41.7182,-87.5558
40.6893,-89.6053
41.7832,-87.6489
41.9285,-87.6321
42.2793,-89.1096
41.6591,-87.6034
41.858,-87.669
42.0026,-87.6608
38.6169,-90.1118
41.7959,-87.6516
39.8269,-89.6446
41.8385,-87.7308
41.776,-87.6462
42.1456,-88.0145
41.9704,-87.7223
41.9715,-87.8954
39.8918,-88.9363
40.7205,-89.5571
40.6713,-89.6404
38.8906,-90.1843
42.2544,-89.0667
41.8144,-87.6338
41.7581,-87.654
42.0354,-88.2826
41.7669,-87.6542
41.8771,-87.7337
41.5033,-90.5897
41.8784,-87.6818
41.8783,-87.6867
41.6688,-87.637
40.7327,-89.632
40.1464,-88.2707
42.1786,-89.2985
41.6777,-87.6416
41.9653,-88.3623
41.8953,-87.6514
41.7552,-87.5703
41.6482,-87.5456
42.0115,-87.8152
41.8953,-87.6491
39.8946,-91.3779
41.8964,-87.6504
40.7198,-89.6466
41.7835,-87.6376
38.8939,-90.1675
41.915,-87.7421
39.8947,-91.3779
41.6797,-87.6359
41.8812,-87.684
39.7889,-89.6167
41.7191,-87.6495
40.7182,-89.5877
41.8526,-87.7248
41.5904,-87.8719
40.7274,-89.6321
41.483,-90.5122
40.8365,-89.9853
41.8307,-87.6154
42.2693,-89.0788
42.2725,-89.1626
40.6866,-89.6081
42.1138,-87.7802
39.7812,-89.6358
41.4577,-90.5073
40.684,-89.6196
42.1138,-87.7802
40.7113,-89.5863
40.6998,-89.6092
41.8882,-87.7993
41.7338,-87.6177
41.8014,-87.6444
42.0082,-87.6682
41.7245,-87.5511
41.8022,-87.6188
41.8204,-87.6053
41.7193,-87.6311
39.7779,-89.6283
41.9687,-87.6877
41.7642,-87.5859
41.4577,-90.5073
41.9065,-87.7149
40.1295,-88.2388
41.9246,-87.7268
41.7817,-87.6121
41.7704,-87.657
41.7921,-87.6378
41.7838,-87.6206
41.8025,-87.5854
41.8993,-87.6968
41.8026,-87.6661
41.8007,-87.6661
41.7652,-87.6469
41.7443,-87.5616
37.889,-88.9019
41.689,-87.6157
41.71,-87.6237
41.7609,-87.5664
41.742,-87.5625
41.7427,-87.5637
41.8143,-87.6164
41.5301,-88.0737
41.5971,-87.6947
41.9654,-87.6548
41.7793,-87.6843
41.9654,-87.6548
41.7536,-87.5626
41.742,-87.5783
41.7793,-87.6843
41.8891,-87.7688
41.8977,-87.7262
42.3325,-89.0488
40.7327,-89.6126
38.8061,-89.9991
41.8954,-87.7175
41.7777,-87.6536
37.7359,-88.9305
41.8876,-87.7749
40.7196,-89.559
40.7326,-89.6308
41.9692,-87.6604
40.1452,-88.272
41.8857,-87.7113
41.7188,-87.6493
41.7831,-87.668
41.8661,-87.7313
41.8974,-87.7179
36.9059,-89.3523
41.8751,-87.7596
42.0508,-87.7468
41.7033,-87.6226
39.7968,-89.627
42.018,-87.6805
41.7448,-87.6588
41.9158,-87.6985
41.6571,-87.598
39.7867,-89.7137
41.8444,-87.7123
41.8789,-87.7338
41.8754,-87.6411
41.7258,-87.5997
41.7088,-87.6368
41.7062,-87.6537
41.6941,-87.6578
38.6163,-90.1468
41.9024,-87.7414
41.8781,-87.6298
38.6278,-90.1061
41.8793,-87.6912
41.7818,-87.6158
41.9594,-87.7161
42.0194,-87.6701
42.2608,-88.1424
41.7656,-87.698
41.8877,-87.7651
41.7865,-87.6863
41.7792,-87.6873
41.8043,-87.6454
41.7536,-87.6515
40.7137,-89.5657
40.6704,-89.6268
42.2931,-89.627
41.8029,-87.6867
41.7743,-87.6447
41.7959,-88.2756
41.783,-87.5891
41.9014,-87.6536
37.6227,-88.8415
42.2788,-89.1184
41.9243,-87.747
41.7405,-87.7025
41.6995,-87.6284
41.8878,-87.852
41.7441,-87.6002
41.9167,-87.6898
41.7476,-87.6926
41.7403,-87.5625
38.5637,-90.1689
41.7791,-87.6946
40.9647,-89.4763
41.7923,-87.656
38.6584,-89.9411
41.7306,-87.6411
41.1225,-87.8592
41.9102,-87.6933
42.0078,-87.6722
42.2517,-89.0913
41.8721,-87.7085
41.8934,-87.6942
41.753,-87.5688
41.7779,-87.6132
42.3385,-89.0535
41.7422,-87.5564
42.0026,-87.6609
40.6748,-89.6274
37.7234,-89.2165
41.891,-87.6672
41.7515,-87.5876
41.7458,-87.6039
41.745,-87.7386
41.6762,-87.6204
41.8049,-87.6673
41.8899,-87.7457
41.7663,-87.5755
41.8937,-87.7065
39.7934,-89.6219
41.9104,-87.6947
41.858,-87.6534
41.7964,-87.6995
41.5848,-87.6365
41.7856,-87.6207
41.8976,-87.7067
41.7578,-88.3672
42.2529,-89.0927
41.8867,-87.7089
42.3611,-87.8423
41.7784,-87.6156
41.8808,-87.7264
41.882,-87.6293
40.7057,-89.5703
41.9196,-87.6365
41.6532,-87.8127
40.7184,-89.5922
41.7513,-87.6027
41.8339,-87.6816
42.0211,-87.67
41.6756,-87.6251
40.7177,-89.597
41.7946,-87.6278
38.5924,-89.9957
39.7889,-89.7035
41.892,-87.6142
41.6566,-87.6024
41.8773,-87.6638
40.684,-89.6168
42.3641,-87.8313
38.6713,-89.9822
41.9759,-87.6942
41.9226,-87.7697
41.8729,-87.6991
41.7641,-87.5935
41.724,-87.6519
41.8823,-87.7602
41.7572,-87.6528
41.7664,-87.6883
40.7066,-89.5939
41.732,-87.6618
41.8913,-87.7558
41.8794,-87.7551
41.7923,-87.6503
41.7458,-87.5504
41.8889,-87.6672
41.8925,-87.6574
41.9095,-87.7497
41.874,-87.7548
39.0219,-88.8461
37.7176,-89.2066
41.7748,-87.6049
41.7686,-87.6446
41.7957,-87.7722
41.9317,-87.7368
41.9119,-87.7118
41.9867,-87.6715
41.6904,-87.6604
41.7394,-87.6656
42.2594,-89.0742
41.7426,-87.6572
41.8401,-87.7062
41.7289,-88.3104
41.7957,-87.7722
41.9117,-87.7264
41.7454,-87.5942
40.7176,-89.5954
41.7748,-87.6231
41.7697,-87.5859
42.307,-89.0968
41.7159,-87.6576
42.2273,-89.0797
41.5322,-88.0422
41.7577,-87.6315
40.7094,-89.5668
41.4966,-90.5854
38.6282,-90.0935
41.8571,-87.7152
40.144,-89.3604
41.765,-87.6668
41.7609,-87.6872
41.9173,-87.7168
41.7886,-87.6645
41.6908,-87.6286
