lat,lng
34.1712,-118.152
37.3033,-120.479
32.5734,-117.036
38.0031,-121.299
32.571,-116.919
37.8018,-120.727
33.9349,-116.868
32.5812,-116.904
36.8087,-119.761
36.2147,-121.128
36.3279,-121.246
33.1451,-117.168
33.9721,-118.364
36.7508,-119.772
36.7035,-121.653
37.7512,-122.171
37.7557,-122.16
41.4838,-120.545
33.4704,-117.116
37.3564,-121.802
34.0255,-118.314
34.1536,-119.18
33.4641,-117.114
37.3336,-121.879
34.0202,-118.162
37.9628,-121.768
38.6267,-121.497
32.7081,-117.035
33.8619,-118.186
34.0671,-118.204
36.9721,-122.034
34.0991,-117.567
33.8616,-118.152
37.9921,-120.41
33.7869,-118.278
38.5927,-121.434
33.7869,-118.278
36.6866,-121.614
37.9393,-121.958
37.833,-122.263
37.6082,-120.989
33.7803,-116.953
33.9575,-118.24
33.897,-118.243
36.7196,-119.798
40.1685,-122.275
32.5508,-117.047
34.5727,-117.894
33.1564,-117.339
34.7196,-117.961
34.2568,-118.433
32.8582,-116.92
32.8284,-117.144
37.8065,-121.914
36.8408,-119.799
32.7152,-117.162
32.9336,-117.24
37.7553,-122.189
36.758,-119.808
37.9715,-122.517
37.8053,-122.29
32.9657,-117.115
33.9415,-118.279
32.8284,-117.144
33.9655,-118.047
32.824,-117.185
33.8448,-116.485
33.6779,-116.185
37.7208,-121.08
37.5312,-122.32
32.7121,-117.06
36.6488,-119.786
36.5127,-121.775
35.3325,-118.992
34.2946,-119.3
39.9236,-122.197
37.6959,-122.044
36.7314,-119.741
36.3111,-119.354
37.9405,-122.366
34.0156,-118.27
34.0707,-118.212
37.3694,-122.068
37.9725,-122.529
37.3149,-120.5
33.828,-118.219
32.7172,-117.113
36.7867,-119.718
34.2632,-118.298
37.8139,-122.274
32.7272,-117.069
34.258,-118.299
36.9663,-122.041
37.7642,-122.173
37.9699,-121.279
33.7299,-117.83
34.1214,-116.031
35.3762,-119.018
36.751,-119.737
38.7032,-121.336
36.753,-119.72
38.6639,-121.28
35.3538,-118.99
33.8896,-118.312
34.1899,-118.451
36.8408,-119.799
34.1157,-117.26
34.2066,-118.365
33.9416,-118.409
38.6329,-121.392
33.9017,-118.173
33.8216,-117.12
37.7789,-122.208
37.7979,-122.24
34.1149,-117.323
34.1274,-117.326
33.7882,-118.308
37.7834,-122.424
34.134,-117.214
40.756,-124.05
36.2991,-119.332
33.7882,-118.308
33.9198,-118.228
36.7942,-119.844
33.8612,-118.17
38.5398,-121.731
37.2798,-121.678
37.3233,-121.846
33.9483,-118.274
33.9644,-118.288
35.1215,-120.621
34.1527,-118.59
34.0763,-118.317
34.0787,-117.76
36.8131,-119.765
36.7797,-119.748
34.0877,-118.02
38.2897,-122.034
34.0145,-118.085
36.6174,-119.546
39.7368,-121.802
37.3858,-121.952
38.5403,-121.474
38.4264,-122.747
37.7511,-122.41
37.3245,-121.824
36.8408,-119.799
36.6769,-121.612
37.9563,-122.368
33.9416,-118.409
33.8873,-118.224
37.9246,-121.281
33.4909,-117.722
36.6797,-121.597
37.3669,-121.818
35.3701,-118.984
36.7141,-119.787
33.9228,-118.239
34.0798,-118.237
38.5093,-121.511
38.2397,-122.037
38.5606,-121.512
37.5373,-122.031
36.7505,-119.793
37.9321,-121.262
35.4047,-119.028
39.7332,-121.855
34.0553,-118.088
35.3965,-118.992
37.9731,-121.262
34.4705,-117.351
38.6866,-121.347
34.1304,-117.226
32.7532,-117.107
33.9505,-118.235
39.1349,-121.67
34.1075,-117.291
36.7503,-119.787
32.6718,-117.087
33.7739,-117.941
37.712,-122.452
33.8577,-116.533
37.7329,-122.391
37.5673,-122.32
34.5376,-117.252
33.9416,-118.409
37.7021,-122.095
36.7213,-119.793
36.7141,-119.795
35.3487,-119.052
38.5202,-121.442
34.3058,-118.457
34.1358,-117.213
