lat,lng
41.8937,-87.7065
41.9104,-87.6947
41.858,-87.6534
41.7964,-87.6995
41.7856,-87.6207
41.8976,-87.7067
41.8867,-87.7089
41.7784,-87.6156
41.8808,-87.7264
41.882,-87.6293
41.9196,-87.6365
41.7513,-87.6027
41.8339,-87.6816
42.0211,-87.67
41.6756,-87.6251
41.7946,-87.6278
41.892,-87.6142
41.6566,-87.6024
41.8773,-87.6638
41.9759,-87.6942
41.9226,-87.7697
41.8729,-87.6991
41.7641,-87.5935
41.724,-87.6519
41.8823,-87.7602
41.7572,-87.6528
41.7664,-87.6883
41.732,-87.6618
41.8913,-87.7558
41.8794,-87.7551
41.7923,-87.6503
41.7458,-87.5504
41.8889,-87.6672
41.8925,-87.6574
41.9095,-87.7497
41.874,-87.7548
41.7748,-87.6049
41.7686,-87.6446
41.7957,-87.7722
41.9317,-87.7368
41.9119,-87.7118
41.9867,-87.6715
41.6904,-87.6604
41.7394,-87.6656
41.7426,-87.6572
41.8401,-87.7062
41.7957,-87.7722
41.9117,-87.7264
41.7454,-87.5942
41.7748,-87.6231
41.7697,-87.5859
41.7159,-87.6576
41.7577,-87.6315
41.8571,-87.7152
41.765,-87.6668
41.7609,-87.6872
41.9173,-87.7168
41.7886,-87.6645
41.6908,-87.6286
41.7531,-87.6016
41.7491,-87.627
41.7516,-87.649
41.7433,-87.6463
41.8781,-87.6298
41.8587,-87.7129
41.7219,-87.6189
41.6827,-87.6449
41.8181,-87.6251
41.7715,-87.6349
41.8523,-87.6659
41.7357,-87.6704
41.7957,-87.7551
41.7116,-87.6358
41.7516,-87.5724
41.895,-87.7483
41.822,-87.6232
41.7413,-87.6502
41.8371,-87.7134
41.7487,-87.6283
41.888,-87.721
41.8557,-87.6833
41.7497,-87.7126
41.6848,-87.6592
41.6831,-87.6543
41.7511,-87.6137
41.8361,-87.656
41.8095,-87.6134
41.795,-87.6732
41.9095,-87.7637
41.8175,-87.6927
41.8166,-87.6198
41.8638,-87.6958
41.8675,-87.619
41.7752,-87.5885
41.7135,-87.614
41.8013,-87.6697
41.9665,-87.7171
41.9031,-87.6899
41.9247,-87.717
41.7054,-87.6262
41.8086,-87.6601
41.7943,-87.6484
41.7216,-87.6263
41.8866,-87.6157
41.9275,-87.7771
41.794,-87.6725
41.8717,-87.6642
41.7735,-87.5717
41.956,-87.6498
41.7757,-87.6669
41.7644,-87.5658
41.8729,-87.6961
41.8605,-87.7117
41.9715,-87.8954
41.7494,-87.6053
41.766,-87.6481
41.7686,-87.6615
41.9368,-87.764
41.6663,-87.6201
41.8831,-87.7466
41.8452,-87.7269
41.7531,-87.6016
41.8803,-87.7653
41.7516,-87.5723
41.7367,-87.5975
41.918,-87.7771
41.7368,-87.5982
41.7503,-87.6742
41.7439,-87.7023
41.7684,-87.6335
41.8517,-87.7089
42.0212,-87.6731
41.7994,-87.6651
41.7935,-87.6767
41.8844,-87.7503
42.0212,-87.6707
41.7662,-87.5863
41.7621,-87.5677
